檔案,語言,檢查類型,問題內容,上下文
tools\zh-CN\inflation.html,簡體中文,相對時間詞,出現「今年」,买多少商品和服务。当通货膨胀率为2.5%时，这意味着去年¥1000的购买力相当于今年的¥975。这种损失会随着时间逐年累积。使用本计算器，您可以预测未来任何时间点您
tools\zh-CN\inflation.html,簡體中文,相對時間詞,出現「今年」,>这意味着商品和服务的平均价格每年上升2.5%。因此，去年¥100能买到的东西，今年需要¥102.50。这个过程会随着年份累积，长期影响显著。</div></div
tools\zh-CN\ivf-cost-calculator.html,簡體中文,年份字樣,出現「2000」,"r"" id=""additionalCosts"" placeholder=""例如：2000""  value=""0"" step=""100""></div> </div>"
tools\zh-CN\oop-maximum-calc.html,簡體中文,相對時間詞,出現「今年」,"""number"" id=""amountPaid"" placeholder=""输入今年迄今为止的总支出""  value=""2150"" step=""0.01""></di"
tools\zh-CN\oop-maximum-calc.html,簡體中文,相對時間詞,出現「今年」,"v> </div>   <small class=""input-help"">输入今年迄今为止已经支付的医疗费用总额</small></div>     <butto"
tools\zh-CN\oop-maximum-calc.html,簡體中文,相對時間詞,出現「今年」,><p>首先，在您的保险文件或保险公司网站上找到您的年度自付额上限。然后，输入您今年迄今为止已支付的医疗费用总额。计算器将立即显示您的剩余自付额、已使用百分比和剩余
tools\zh-CN\payroll-tax.html,簡體中文,年份字樣,出現「2024」,h2>所得税和国民保险</h2><p>所得税根据您的税码和收入水平计算。在英国，2024-2025税年的个人免税额为12570英镑，之后的边际税率为20%（基本税率）。
tools\zh-CN\rebar-calculator.html,簡體中文,年份字樣,出現「2018」,>重量计算方法</h2><p>钢筋重量的计算基于国家标准GB/T 1499.2-2018。对于圆钢筋，重量（kg）= 直径²（mm²）× 长度（m）× 密度系数0.00
tools\zh-CN\roth-vs-traditional.html,簡體中文,年份字樣,出現「2025」,"分析，找到最适合的策略。</p><p><small>来源：IRS Notice 2025-67(2026年限额),2026年8月更新。</small></p></art"
tools\zh-CN\scholarship-calculator.html,簡體中文,相對時間詞,出現「去年」,>计算器会生成四个关键结果。年度成本是你每年需要自行支付的金额，计算方法是学费减去年度援助。全程总成本是年度成本乘以学年数。年度财政援助显示每年能够获得的奖学金和助
tools\zh-CN\umbrella-insurance.html,簡體中文,年份字樣,出現「2000」,"故可能导致超过您现有保险限额的巨额赔偿要求。伞式保险通常以相对低廉的保费(年费¥2000-5000)提供¥100万-¥1000万的额外保障,是保护资产的经济有效方式。<"
tools\zh-CN\umbrella-insurance.html,簡體中文,年份字樣,出現「2000」,"iv><div class=""faq-a"">伞式保险的保费相对较低,通常年费在¥2000-5000之间,具体取决于保额、您的风险档案和保险公司。一般来说,保额越高,单位"
blog\de\stock-selection-guide.html,德文,年份字樣,出現「2019」,"l: Ein Unternehmen mit Gewinnen von 2€ (2019), 2,20€ (2020), 2,50€ (2021), 2,85€ (20"
blog\de\stock-selection-guide.html,德文,年份字樣,出現「2020」,"hmen mit Gewinnen von 2€ (2019), 2,20€ (2020), 2,50€ (2021), 2,85€ (2022), 3,10€ (20"
blog\de\stock-selection-guide.html,德文,年份字樣,出現「2021」,"nen von 2€ (2019), 2,20€ (2020), 2,50€ (2021), 2,85€ (2022), 3,10€ (2023) zeigt star"
blog\de\stock-selection-guide.html,德文,年份字樣,出現「2022」,"19), 2,20€ (2020), 2,50€ (2021), 2,85€ (2022), 3,10€ (2023) zeigt starkes, konsisten"
blog\de\stock-selection-guide.html,德文,年份字樣,出現「2023」,"20), 2,50€ (2021), 2,85€ (2022), 3,10€ (2023) zeigt starkes, konsistentes Wachstum.<"
blog\en\rsi-indicator.html,英文,年份字樣,出現「2020」,"emained overbought for weeks during its 2020 rally. Use context, not mechanical rule"
blog\en\stock-selection-guide.html,英文,相對時間詞,出現「last year」,strong> Just because a company grew 30% last year doesn't mean it will next year. Look fo
blog\es\moving-average-guide.html,西班牙文,年份字樣,出現「2020」,"rong>Ejemplo real:</strong> En marzo de 2020, durante el crash de COVID-19, muchas a"
blog\es\stock-selection-guide.html,西班牙文,相對時間詞,出現「este año」,ente año tras año. Comparar ingresos de este año con el año anterior muestra tendencia.
blog\fr\candlestick-patterns.html,法文,年份字樣,出現「2023」,"tion de Marché Haussier</h3> <p>En mars 2023, lors d'une correction technologique, p"
blog\fr\candlestick-patterns.html,法文,年份字樣,出現「2022」,"rtit d'une Inversion</h3> <p>En janvier 2022, plusieurs indices boursiers ont formé"
blog\fr\institutional-investors.html,法文,年份字樣,出現「2020」,"p><strong>Exemple concret :</strong> En 2020, de nombreux marchés émergents ont conn"
blog\fr\macd-indicator.html,法文,年份字樣,出現「2023」,trading de l'or (XAU/USD) en septembre 2023. Le prix était en tendance baissière de
blog\fr\stock-selection-guide.html,法文,年份字樣,出現「2023」,bilité</td> <td>Bénéfice net positif en 2023 et 2024</td> <td>Santé économique vérif
blog\fr\stock-selection-guide.html,法文,年份字樣,出現「2024」,td> <td>Bénéfice net positif en 2023 et 2024</td> <td>Santé économique vérifiée</td>
blog\fr\stock-selection-guide.html,法文,年份字樣,出現「2020」,Croissance Annuelle</th> </tr> <tr> <td>2020</td> <td>100</td> <td>-</td> </tr> <tr>
blog\fr\stock-selection-guide.html,法文,年份字樣,出現「2021」,<td>100</td> <td>-</td> </tr> <tr> <td>2021</td> <td>110</td> <td>+10%</td> </tr> <
blog\fr\stock-selection-guide.html,法文,年份字樣,出現「2022」,"d>110</td> <td>+10%</td> </tr> <tr> <td>2022</td> <td>127</td> <td>+15,5%</td> </tr>"
blog\fr\stock-selection-guide.html,法文,年份字樣,出現「2023」,"127</td> <td>+15,5%</td> </tr> <tr> <td>2023</td> <td>145</td> <td>+14,2%</td> </tr>"
blog\fr\stock-selection-guide.html,法文,年份字樣,出現「2024」,"145</td> <td>+14,2%</td> </tr> <tr> <td>2024</td> <td>165</td> <td>+13,8%</td> </tr>"
blog\fr\support-resistance.html,法文,年份字樣,出現「2023」,ur l'illustration) :</p><ul><li>Juillet 2023 : pic à 140€</li><li>Octobre 2023 : pic
blog\fr\support-resistance.html,法文,年份字樣,出現「2023」,illet 2023 : pic à 140€</li><li>Octobre 2023 : pic à 142€</li><li>Janvier 2024 : pic
blog\fr\support-resistance.html,法文,年份字樣,出現「2024」,tobre 2023 : pic à 142€</li><li>Janvier 2024 : pic à 141€</li><li>Février 2024 : cre
blog\fr\support-resistance.html,法文,年份字樣,出現「2024」,nvier 2024 : pic à 141€</li><li>Février 2024 : creux à 125€</li><li>Avril 2024 : cre
blog\fr\support-resistance.html,法文,年份字樣,出現「2024」,vrier 2024 : creux à 125€</li><li>Avril 2024 : creux à 126€</li></ul><p><strong>Anal
blog\id\institutional-investors.html,印尼文,年份字樣,出現「2024」,"toh Realistis:</strong> Pada periode Q1 2024, investor asing secara net membeli Rp 2"
blog\id\institutional-investors.html,印尼文,年份字樣,出現「2000」,"Saham ABC memiliki support level di Rp 2000. Setiap kali turun ke level ini, dealer"
blog\id\moving-average-guide.html,印尼文,相對時間詞,出現「tahun lalu」,"trading. Meskipun dikembangkan puluhan tahun lalu, aturan-aturan ini masih relevan hingga"
blog\id\stock-selection-guide.html,印尼文,年份字樣,出現「2023」,")</li> </ul>  <p>Contoh: Jika EPS tahun 2023 adalah Rp 500, dan tahun 2024 adalah Rp"
blog\id\stock-selection-guide.html,印尼文,年份字樣,出現「2024」,"EPS tahun 2023 adalah Rp 500, dan tahun 2024 adalah Rp 600, pertumbuhan EPS = (600-5"
blog\id\stock-selection-guide.html,印尼文,年份字樣,出現「2020」,h)</th> <th>ROE (%)</th> </tr> <tr> <td>2020</td> <td>50.000</td> <td>5.000</td> <td
blog\id\stock-selection-guide.html,印尼文,年份字樣,出現「2021」,<td>250</td> <td>12</td> </tr> <tr> <td>2021</td> <td>55.000</td> <td>5.800</td> <td
blog\id\stock-selection-guide.html,印尼文,年份字樣,出現「2022」,d>290</td> <td>13.5</td> </tr> <tr> <td>2022</td> <td>61.000</td> <td>6.700</td> <td
blog\id\stock-selection-guide.html,印尼文,年份字樣,出現「2023」,<td>335</td> <td>15</td> </tr> <tr> <td>2023</td> <td>68.000</td> <td>7.850</td> <td
blog\id\stock-selection-guide.html,印尼文,年份字樣,出現「2024」,392.5</td> <td>16.5</td> </tr> <tr> <td>2024</td> <td>76.000</td> <td>9.120</td> <td
blog\ja\profit-loss-ratio.html,日文,年份字樣,出現「2000」,d>リスク（ロット単位100）</td><td>500円</td><td>（1.2000 - 1.1950）× 100ロット</td></tr><tr><td>リワード
blog\ja\profit-loss-ratio.html,日文,年份字樣,出現「2000」,"100）</td><td>1,000円</td><td>（1.2100 - 1.2000）× 100ロット</td></tr><tr><td>リスク・リワード比率</t"
